Week,device,User_Engagement
17,"acer aspire desktop",9
17,"acer aspire notebook",20
17,"amazon fire phone",4
17,"asus chromebook",21
17,"dell inspiron desktop",18
17,"dell inspiron notebook",46
17,"hp pavilion desktop",14
17,"htc one",16
17,"ipad air",27
17,"ipad mini",19
17,"iphone 4s",21
17,"iphone 5",65
17,"iphone 5s",42
17,"kindle fire",6
17,"lenovo thinkpad",86
17,"mac mini",6
17,"macbook air",54
17,"macbook pro",143
17,"nexus 10",16
17,"nexus 5",40
17,"nexus 7",18
17,"nokia lumia 635",17
17,"samsumg galaxy tablet",8
17,"samsung galaxy note",7
17,"samsung galaxy s4",52
17,"windows surface",10
18,"acer aspire desktop",26
18,"acer aspire notebook",33
18,"amazon fire phone",9
18,"asus chromebook",42
18,"dell inspiron desktop",58
18,"dell inspiron notebook",77
18,"hp pavilion desktop",37
18,"htc one",19
18,"ipad air",52
18,"ipad mini",30
18,"iphone 4s",46
18,"iphone 5",113
18,"iphone 5s",73
18,"kindle fire",27
18,"lenovo thinkpad",153
18,"mac mini",13
18,"macbook air",121
18,"macbook pro",252
18,"nexus 10",30
18,"nexus 5",73
18,"nexus 7",30
18,"nokia lumia 635",33
18,"samsumg galaxy tablet",11
18,"samsung galaxy note",15
18,"samsung galaxy s4",82
18,"windows surface",10
19,"acer aspire desktop",23
19,"acer aspire notebook",41
19,"amazon fire phone",12
19,"asus chromebook",27
19,"dell inspiron desktop",36
19,"dell inspiron notebook",83
19,"hp pavilion desktop",40
19,"htc one",30
19,"ipad air",55
19,"ipad mini",36
19,"iphone 4s",44
19,"iphone 5",115
19,"iphone 5s",79
19,"kindle fire",21
19,"lenovo thinkpad",178
19,"mac mini",18
19,"macbook air",112
19,"macbook pro",266
19,"nexus 10",25
19,"nexus 5",87
19,"nexus 7",41
19,"nokia lumia 635",23
19,"samsumg galaxy tablet",6
19,"samsung galaxy note",11
19,"samsung galaxy s4",91
19,"windows surface",16
20,"acer aspire desktop",23
20,"acer aspire notebook",40
20,"amazon fire phone",11
20,"asus chromebook",41
20,"dell inspiron desktop",52
20,"dell inspiron notebook",84
20,"hp pavilion desktop",30
20,"htc one",29
20,"ipad air",59
20,"ipad mini",32
20,"iphone 4s",55
20,"iphone 5",125
20,"iphone 5s",79
20,"kindle fire",23
20,"lenovo thinkpad",173
20,"mac mini",26
20,"macbook air",119
20,"macbook pro",256
20,"nexus 10",22
20,"nexus 5",103
20,"nexus 7",32
20,"nokia lumia 635",22
20,"samsumg galaxy tablet",9
20,"samsung galaxy note",18
20,"samsung galaxy s4",93
20,"windows surface",21
21,"acer aspire desktop",29
21,"acer aspire notebook",47
21,"amazon fire phone",5
21,"asus chromebook",38
21,"dell inspiron desktop",41
21,"dell inspiron notebook",80
21,"hp pavilion desktop",44
21,"htc one",21
21,"ipad air",51
21,"ipad mini",23
21,"iphone 4s",45
21,"iphone 5",137
21,"iphone 5s",74
21,"kindle fire",30
21,"lenovo thinkpad",167
21,"mac mini",18
21,"macbook air",110
21,"macbook pro",247
21,"nexus 10",25
21,"nexus 5",91
21,"nexus 7",29
21,"nokia lumia 635",25
21,"samsumg galaxy tablet",6
21,"samsung galaxy note",20
21,"samsung galaxy s4",84
21,"windows surface",17
22,"acer aspire desktop",25
22,"acer aspire notebook",41
22,"amazon fire phone",5
22,"asus chromebook",52
22,"dell inspiron desktop",52
22,"dell inspiron notebook",92
22,"hp pavilion desktop",38
22,"htc one",24
22,"ipad air",58
22,"ipad mini",34
22,"iphone 4s",45
22,"iphone 5",125
22,"iphone 5s",71
22,"kindle fire",21
22,"lenovo thinkpad",176
22,"mac mini",25
22,"macbook air",145
22,"macbook pro",251
22,"nexus 10",27
22,"nexus 5",96
22,"nexus 7",45
22,"nokia lumia 635",25
22,"samsumg galaxy tablet",10
22,"samsung galaxy note",19
22,"samsung galaxy s4",105
22,"windows surface",15
23,"acer aspire desktop",22
23,"acer aspire notebook",43
23,"amazon fire phone",16
23,"asus chromebook",49
23,"dell inspiron desktop",53
23,"dell inspiron notebook",103
23,"hp pavilion desktop",54
23,"htc one",20
23,"ipad air",41
23,"ipad mini",33
23,"iphone 4s",53
23,"iphone 5",152
23,"iphone 5s",79
23,"kindle fire",25
23,"lenovo thinkpad",176
23,"mac mini",18
23,"macbook air",124
23,"macbook pro",266
23,"nexus 10",45
23,"nexus 5",88
23,"nexus 7",36
23,"nokia lumia 635",31
23,"samsumg galaxy tablet",14
23,"samsung galaxy note",14
23,"samsung galaxy s4",99
23,"windows surface",14
24,"acer aspire desktop",24
24,"acer aspire notebook",40
24,"amazon fire phone",11
24,"asus chromebook",43
24,"dell inspiron desktop",59
24,"dell inspiron notebook",99
24,"hp pavilion desktop",56
24,"htc one",20
24,"ipad air",57
24,"ipad mini",39
24,"iphone 4s",53
24,"iphone 5",142
24,"iphone 5s",79
24,"kindle fire",25
24,"lenovo thinkpad",165
24,"mac mini",29
24,"macbook air",152
24,"macbook pro",255
24,"nexus 10",38
24,"nexus 5",87
24,"nexus 7",49
24,"nokia lumia 635",35
24,"samsumg galaxy tablet",11
24,"samsung galaxy note",20
24,"samsung galaxy s4",101
24,"windows surface",22
25,"acer aspire desktop",28
25,"acer aspire notebook",47
25,"amazon fire phone",13
25,"asus chromebook",38
25,"dell inspiron desktop",52
25,"dell inspiron notebook",105
25,"hp pavilion desktop",52
25,"htc one",21
25,"ipad air",57
25,"ipad mini",30
25,"iphone 4s",40
25,"iphone 5",137
25,"iphone 5s",78
25,"kindle fire",24
25,"lenovo thinkpad",197
25,"mac mini",21
25,"macbook air",121
25,"macbook pro",275
25,"nexus 10",29
25,"nexus 5",89
25,"nexus 7",51
25,"nokia lumia 635",37
25,"samsumg galaxy tablet",12
25,"samsung galaxy note",14
25,"samsung galaxy s4",99
25,"windows surface",22
26,"acer aspire desktop",29
26,"acer aspire notebook",35
26,"amazon fire phone",13
26,"asus chromebook",49
26,"dell inspiron desktop",60
26,"dell inspiron notebook",89
26,"hp pavilion desktop",46
26,"htc one",23
26,"ipad air",56
26,"ipad mini",43
26,"iphone 4s",50
26,"iphone 5",152
26,"iphone 5s",94
26,"kindle fire",26
26,"lenovo thinkpad",192
26,"mac mini",11
26,"macbook air",134
26,"macbook pro",269
26,"nexus 10",29
26,"nexus 5",87
26,"nexus 7",46
26,"nokia lumia 635",42
26,"samsumg galaxy tablet",12
26,"samsung galaxy note",9
26,"samsung galaxy s4",112
26,"windows surface",21
27,"acer aspire desktop",29
27,"acer aspire notebook",49
27,"amazon fire phone",10
27,"asus chromebook",52
27,"dell inspiron desktop",53
27,"dell inspiron notebook",89
27,"hp pavilion desktop",56
27,"htc one",27
27,"ipad air",55
27,"ipad mini",35
27,"iphone 4s",67
27,"iphone 5",163
27,"iphone 5s",83
27,"kindle fire",25
27,"lenovo thinkpad",202
27,"mac mini",15
27,"macbook air",142
27,"macbook pro",302
27,"nexus 10",37
27,"nexus 5",84
27,"nexus 7",40
27,"nokia lumia 635",31
27,"samsumg galaxy tablet",15
27,"samsung galaxy note",15
27,"samsung galaxy s4",116
27,"windows surface",33
28,"acer aspire desktop",30
28,"acer aspire notebook",49
28,"amazon fire phone",6
28,"asus chromebook",50
28,"dell inspiron desktop",56
28,"dell inspiron notebook",103
28,"hp pavilion desktop",56
28,"htc one",26
28,"ipad air",54
28,"ipad mini",35
28,"iphone 4s",61
28,"iphone 5",151
28,"iphone 5s",93
28,"kindle fire",31
28,"lenovo thinkpad",220
28,"mac mini",28
28,"macbook air",148
28,"macbook pro",295
28,"nexus 10",26
28,"nexus 5",85
28,"nexus 7",39
28,"nokia lumia 635",35
28,"samsumg galaxy tablet",9
28,"samsung galaxy note",10
28,"samsung galaxy s4",122
28,"windows surface",33
29,"acer aspire desktop",28
29,"acer aspire notebook",53
29,"amazon fire phone",12
29,"asus chromebook",49
29,"dell inspiron desktop",54
29,"dell inspiron notebook",113
29,"hp pavilion desktop",58
29,"htc one",31
29,"ipad air",52
29,"ipad mini",34
29,"iphone 4s",60
29,"iphone 5",144
29,"iphone 5s",90
29,"kindle fire",37
29,"lenovo thinkpad",209
29,"mac mini",31
29,"macbook air",148
29,"macbook pro",295
29,"nexus 10",25
29,"nexus 5",77
29,"nexus 7",45
29,"nokia lumia 635",43
29,"samsumg galaxy tablet",13
29,"samsung galaxy note",16
29,"samsung galaxy s4",123
29,"windows surface",28
30,"acer aspire desktop",33
30,"acer aspire notebook",60
30,"amazon fire phone",12
30,"asus chromebook",56
30,"dell inspiron desktop",54
30,"dell inspiron notebook",127
30,"hp pavilion desktop",42
30,"htc one",31
30,"ipad air",70
30,"ipad mini",35
30,"iphone 4s",65
30,"iphone 5",152
30,"iphone 5s",103
30,"kindle fire",25
30,"lenovo thinkpad",206
30,"mac mini",23
30,"macbook air",159
30,"macbook pro",322
30,"nexus 10",36
30,"nexus 5",84
30,"nexus 7",62
30,"nokia lumia 635",34
30,"samsumg galaxy tablet",9
30,"samsung galaxy note",15
30,"samsung galaxy s4",103
30,"windows surface",19
31,"acer aspire desktop",31
31,"acer aspire notebook",55
31,"amazon fire phone",14
31,"asus chromebook",56
31,"dell inspiron desktop",44
31,"dell inspiron notebook",113
31,"hp pavilion desktop",51
31,"htc one",13
31,"ipad air",55
31,"ipad mini",27
31,"iphone 4s",56
31,"iphone 5",135
31,"iphone 5s",71
31,"kindle fire",14
31,"lenovo thinkpad",207
31,"mac mini",24
31,"macbook air",147
31,"macbook pro",321
31,"nexus 10",24
31,"nexus 5",69
31,"nexus 7",38
31,"nokia lumia 635",28
31,"samsumg galaxy tablet",8
31,"samsung galaxy note",14
31,"samsung galaxy s4",100
31,"windows surface",19
32,"acer aspire desktop",35
32,"acer aspire notebook",55
32,"amazon fire phone",12
32,"asus chromebook",62
32,"dell inspiron desktop",57
32,"dell inspiron notebook",104
32,"hp pavilion desktop",51
32,"htc one",18
32,"ipad air",48
32,"ipad mini",30
32,"iphone 4s",34
32,"iphone 5",119
32,"iphone 5s",67
32,"kindle fire",12
32,"lenovo thinkpad",179
32,"mac mini",20
32,"macbook air",125
32,"macbook pro",307
32,"nexus 10",30
32,"nexus 5",67
32,"nexus 7",25
32,"nokia lumia 635",28
32,"samsumg galaxy tablet",6
32,"samsung galaxy note",12
32,"samsung galaxy s4",82
32,"windows surface",10
33,"acer aspire desktop",39
33,"acer aspire notebook",46
33,"amazon fire phone",14
33,"asus chromebook",49
33,"dell inspiron desktop",37
33,"dell inspiron notebook",110
33,"hp pavilion desktop",38
33,"htc one",19
33,"ipad air",40
33,"ipad mini",28
33,"iphone 4s",35
33,"iphone 5",110
33,"iphone 5s",65
33,"kindle fire",14
33,"lenovo thinkpad",191
33,"mac mini",32
33,"macbook air",133
33,"macbook pro",312
33,"nexus 10",23
33,"nexus 5",70
33,"nexus 7",30
33,"nokia lumia 635",27
33,"samsumg galaxy tablet",12
33,"samsung galaxy note",13
33,"samsung galaxy s4",80
33,"windows surface",15
34,"acer aspire desktop",30
34,"acer aspire notebook",63
34,"amazon fire phone",11
34,"asus chromebook",47
34,"dell inspiron desktop",49
34,"dell inspiron notebook",105
34,"hp pavilion desktop",36
34,"htc one",25
34,"ipad air",39
34,"ipad mini",25
34,"iphone 4s",50
34,"iphone 5",101
34,"iphone 5s",70
34,"kindle fire",13
34,"lenovo thinkpad",193
34,"mac mini",30
34,"macbook air",136
34,"macbook pro",292
34,"nexus 10",25
34,"nexus 5",70
34,"nexus 7",33
34,"nokia lumia 635",17
34,"samsumg galaxy tablet",14
34,"samsung galaxy note",13
34,"samsung galaxy s4",90
34,"windows surface",18
35,"acer aspire desktop",1
35,"acer aspire notebook",3
35,"asus chromebook",6
35,"dell inspiron desktop",1
35,"dell inspiron notebook",9
35,"hp pavilion desktop",1
35,"htc one",2
35,"ipad mini",2
35,"iphone 4s",6
35,"iphone 5",2
35,"iphone 5s",3
35,"kindle fire",3
35,"lenovo thinkpad",16
35,"mac mini",2
35,"macbook air",10
35,"macbook pro",17
35,"nexus 10",2
35,"nexus 5",4
35,"nexus 7",2
35,"nokia lumia 635",2
35,"samsung galaxy note",1
35,"samsung galaxy s4",6
35,"windows surface",3
